correct_red,correct_green,correct_blue,rotten_red,rotten_green,rotten_blue,len_correct_part,len_rotten_part,class_fruit
102.1453098,71.65021995,60.07635594,198.5252603,166.3342733,132.8527726,821558,357782,D
108.1203456,72.05585899,42.0500567,179.3900829,153.5567053,93.62047147,614371,372130,D
130.2379852,96.82965447,55.39123829,192.4646458,175.4314636,99.66810409,423478,188946,D
129.8621731,96.98918761,56.6452067,192.2075144,175.2799963,102.5961842,370300,172199,D
131.4821077,97.97568705,67.41196567,188.6533178,172.5982435,110.9554188,1457828,688407,D
133.3866723,99.87700051,70.08804212,191.3498135,175.7177747,116.845858,1564476,716238,D
109.1275956,70.42554533,56.37528971,188.0801359,173.8277104,118.7472315,1480771,608477,D
114.7189589,74.43967442,58.42120417,188.5513147,174.8357057,118.5183925,1595475,621650,D
110.010986,76.46948237,65.86885744,190.0226555,157.1111311,135.5640258,1683878,698274,D
105.7126672,73.06223366,63.69478052,185.3659769,152.8898452,132.8355198,1692099,690291,D
91.88119851,68.54748304,57.64838548,199.052899,190.4656057,146.703516,1068320,723763,D
86.61348801,63.54521775,53.70734902,197.2249389,188.1638003,144.7554649,955565,680373,D
100.0107284,64.47037136,54.47875609,193.5436703,157.1364895,135.5427139,2072800,671467,D
112.3972097,76.79688442,66.9423068,188.8601013,159.5124892,147.2484878,3001111,1115735,D
112.8350209,77.82970532,67.54050461,188.7716579,160.0063187,147.6908037,3020345,1093246,D
128.3046048,95.70154975,68.61519181,179.4445968,156.5016182,136.6263506,2967564,1298411,D
101.2467351,73.29775647,61.05445184,197.4515693,187.0157357,148.2080457,1934368,1065653,D
101.7065327,74.34713312,61.25231593,198.0745765,188.2099147,147.9933389,1982017,1063575,D
98.14213906,70.39667327,59.02661737,195.0691823,184.1990335,145.7432338,1974176,1067635,D
112.5234404,68.12788018,53.26812953,186.7689398,181.1905749,138.8161747,1956433,648284,D
112.3031056,68.1001481,53.41007111,186.708033,181.0338196,138.9942512,1970818,649171,D
112.3915202,68.21228542,52.09814191,186.7126229,181.4953231,136.7231143,1955657,655095,D
107.3733206,63.53171376,47.12833478,193.2317935,162.1486,114.287084,1791511,1309911,D
109.3021061,64.18714593,47.72956415,194.8821886,163.1843006,116.1279881,1797231,1313061,D
